,evid,geophone,ft_arrival_time,envelope_length,envelope_end_time,emergence,max_envelope_time,noise_rms,snr_from_rms,noise_max,snr_from_max,PGV,theta_mean,theta_variance,avg_misfit,theta_standard_dev,interval_day_number,event_category,Regolith_Temp_K,Rock_Temp_K,diurnal_interval
0,760815-10-M1,geo4,1976-08-15T10:36:35.040184,89.1310074832,1976-08-15T10:38:04.171191,17.2550014487,1976-08-15T10:36:52.295185,0.000264821966453,6.9,0.0026817272637,0.7,39.8408,171.5,0.0,0.043,0.0,0.1608222243518518,repeating,125.5119839264,255.79636084527405,night1
1,760815-10-M1,geo3,1976-08-15T10:36:36.825184,41.6500034968,1976-08-15T10:37:18.475187,12.4355010441,1976-08-15T10:36:49.260685,0.000221723688673,3.6,0.00224738176021,0.4,41.7941,171.5,0.0,0.043,0.0,0.160842884074074,repeating,125.5112699264,255.7959377341629,night1
2,760815-10-M1,geo1,1976-08-15T10:36:37.420184,29.3335024628,1976-08-15T10:37:06.753686,16.4815013837,1976-08-15T10:36:53.901685,0.000186039665448,3.8,0.001570218567,0.4,32.8929,171.5,0.0,0.043,0.0,0.1608497706481481,repeating,125.5110319264,255.79579669712592,night1
3,760815-10-M1,geo2,1976-08-15T10:36:37.420184,48.3140040563,1976-08-15T10:37:25.734188,12.0190010091,1976-08-15T10:36:49.439185,0.000180636112378,3.2,0.00205843750631,0.3,39.585,171.5,0.0,0.043,0.0,0.1608497706481481,repeating,125.5110319264,255.79579669712592,night1
4,760815-12-M1,geo2,1976-08-15T12:45:35.640230,73.0660061325,1976-08-15T12:46:48.706236,22.6695019027,1976-08-15T12:45:58.309732,0.000310408641136,6.5,0.00110501047771,1.8,32.23,288.9,35.431,29.927,5.952394476175113,0.2504125026620371,isolated,122.59732791822222,253.9920799488889,night1
5,760815-12-M1,geo3,1976-08-15T12:45:35.640230,42.6020035756,1976-08-15T12:46:18.242234,38.2585032111,1976-08-15T12:46:13.898733,0.000329648631286,4.5,0.00319423368459,0.5,44.294,288.9,35.431,29.927,5.952394476175113,0.2504125026620371,isolated,122.59732791822222,253.9920799488889,night1
6,760815-12-M1,geo1,1976-08-15T12:45:42.720730,60.2735050588,1976-08-15T12:46:42.994235,9.57950080401,1976-08-15T12:45:52.300231,0.000322256113516,3.7,0.0028126092508,0.4,33.9305,288.9,35.431,29.927,5.952394476175113,0.2504944528935185,isolated,122.59481040711113,253.99050650444445,night1
7,760815-12-M1,geo4,1976-08-15T12:45:43.137230,47.8380040151,1976-08-15T12:46:30.975234,9.63900080901,1976-08-15T12:45:52.776231,0.000356273767498,4.6,0.00298364786647,0.6,46.3088,288.9,35.431,29.927,5.952394476175113,0.2504992734953704,isolated,122.59466231822222,253.9904139488889,night1
8,760815-12-M2,geo3,1976-08-15T12:51:17.136258,79.3730066661,1976-08-15T12:52:36.509265,29.7500024985,1976-08-15T12:51:46.886260,0.000316911686642,12.6,0.00255996120469,1.6,38.6596,161.5,9.165,28.249,3.0273751006441207,0.2543650029861111,isolated,122.47590710826668,253.91619194266667,night1
9,760815-12-M2,geo4,1976-08-15T12:51:18.683258,95.2595080003,1976-08-15T12:52:53.942766,21.241501784,1976-08-15T12:51:39.924760,0.00028651194343,6.1,0.00231197979429,0.8,28.1473,161.5,9.165,28.249,3.0273751006441207,0.2543829080787037,isolated,122.47535706382224,253.9158481648889,night1
