evid,geophone,arrival_time,grade
760815-09-M1,geo4,1976-08-15T09:36:29.000000,B
760815-09-M1,geo1,1976-08-15T09:36:47.000000,B
760815-09-M1,geo2,1976-08-15T09:36:40.000000,B
760815-09-M2,geo4,1976-08-15T09:51:01.000000,B
760815-09-M2,geo1,1976-08-15T09:50:51.000000,B
760815-09-M2,geo3,1976-08-15T09:50:55.000000,B
760815-09-M3,geo3,1976-08-15T09:02:47.000000,C
760815-09-M3,geo4,1976-08-15T09:02:50.000000,C
760815-09-N1,geo1,1976-08-15T09:40:23.000000,D
760815-09-N2,geo4,1976-08-15T09:35:03.000000,D
760815-10-M1,geo4,1976-08-15T10:36:35.040184,A
760815-10-M1,geo3,1976-08-15T10:36:36.825184,A
760815-10-M1,geo1,1976-08-15T10:36:37.420184,A
760815-10-M1,geo2,1976-08-15T10:36:37.420184,A
760815-11-M1,geo1,1976-08-15T11:31:04.000000,C
760815-11-M1,geo4,1976-08-15T11:30:56.000000,C
760815-11-M2,geo2,1976-08-15T11:48:22.000000,B
760815-11-M2,geo4,1976-08-15T11:48:38.000000,B
760815-11-M2,geo1,1976-08-15T11:48:23.000000,B
760815-11-M3,geo3,1976-08-15T11:36:29.000000,C
760815-11-M3,geo4,1976-08-15T11:36:22.000000,C
760815-11-N1,geo3,1976-08-15T11:45:03.000000,D
760815-11-N2,geo4,1976-08-15T11:01:25.000000,D
760815-12-M1,geo2,1976-08-15T12:45:35.640230,A
760815-12-M1,geo3,1976-08-15T12:45:35.640230,A
760815-12-M1,geo1,1976-08-15T12:45:42.720730,A
760815-12-M1,geo4,1976-08-15T12:45:43.137230,A
760815-12-M2,geo3,1976-08-15T12:51:17.136258,A
760815-12-M2,geo4,1976-08-15T12:51:18.683258,A
760815-12-M2,geo1,1976-08-15T12:51:23.681259,A
760815-12-M2,geo2,1976-08-15T12:51:25.287759,A
760815-12-M3,geo2,1976-08-15T12:43:13.000000,C
760815-12-M3,geo3,1976-08-15T12:43:24.000000,C
760815-12-M4,geo3,1976-08-15T12:53:42.000000,C
760815-12-M4,geo2,1976-08-15T12:54:00.000000,C
760815-12-N1,geo1,1976-08-15T12:55:23.000000,D
760815-12-N2,geo2,1976-08-15T12:12:16.000000,D
760815-13-M1,geo4,1976-08-15T13:02:20.929939,A
760815-13-M1,geo2,1976-08-15T13:02:23.071938,A
760815-13-M1,geo1,1976-08-15T13:02:23.190938,A
760815-13-M1,geo3,1976-08-15T13:02:23.607438,A
760815-13-M2,geo4,1976-08-15T13:58:22.688700,A
760815-13-M2,geo1,1976-08-15T13:58:23.462200,A
760815-13-M2,geo3,1976-08-15T13:58:24.176200,A
760815-13-M2,geo2,1976-08-15T13:58:24.711699,A
760815-13-M3,geo3,1976-08-15T13:31:51.000000,C
760815-13-M3,geo2,1976-08-15T13:31:34.000000,C
760815-13-N1,geo2,1976-08-15T13:18:46.000000,D
760815-14-M1,geo2,1976-08-15T14:14:59.000000,B
760815-14-M1,geo1,1976-08-15T14:14:55.000000,B
760815-14-M1,geo3,1976-08-15T14:14:58.000000,B
760815-14-M2,geo2,1976-08-15T14:45:34.671230,A
760815-14-M2,geo4,1976-08-15T14:45:35.147230,A
760815-14-M2,geo1,1976-08-15T14:45:35.682730,A
760815-14-M2,geo3,1976-08-15T14:45:41.275730,A
760815-15-M1,geo1,1976-08-15T15:12:03.000000,B
760815-15-M1,geo3,1976-08-15T15:12:10.000000,B
760815-15-M1,geo4,1976-08-15T15:12:05.000000,B
760815-15-M2,geo2,1976-08-15T15:38:29.110194,A
760815-15-M2,geo1,1976-08-15T15:38:29.764694,A
760815-15-M2,geo3,1976-08-15T15:38:31.906694,A
760815-15-M2,geo4,1976-08-15T15:38:33.453694,A
760815-15-N1,geo3,1976-08-15T15:52:17.000000,D
760815-16-M1,geo1,1976-08-15T16:14:18.134572,A
760815-16-M1,geo2,1976-08-15T16:14:23.370572,A
760815-16-M1,geo4,1976-08-15T16:14:24.679573,A
760815-16-M1,geo3,1976-08-15T16:14:26.821573,A
760815-16-M2,geo1,1976-08-15T16:22:29.749113,A
760815-16-M2,geo2,1976-08-15T16:22:32.962114,A
760815-16-M2,geo4,1976-08-15T16:22:33.140614,A
760815-16-M2,geo3,1976-08-15T16:22:34.806614,A
760815-16-M3,geo2,1976-08-15T16:25:03.080626,A
760815-16-M3,geo1,1976-08-15T16:25:06.055626,A
760815-16-M3,geo4,1976-08-15T16:25:08.257127,A
760815-16-M3,geo3,1976-08-15T16:25:11.232127,A
760815-16-M4,geo4,1976-08-15T16:30:33.000000,C
760815-16-M4,geo2,1976-08-15T16:30:17.000000,C
760815-16-M5,geo3,1976-08-15T16:40:55.000000,C
760815-16-M5,geo4,1976-08-15T16:40:41.000000,C
760815-17-M1,geo2,1976-08-15T17:17:52.538590,A
760815-17-M1,geo3,1976-08-15T17:18:01.880091,A
760815-17-M1,geo4,1976-08-15T17:18:02.951091,A
760815-17-M1,geo1,1976-08-15T17:18:03.546091,A
760815-17-M2,geo3,1976-08-15T17:24:07.000000,B
760815-17-M2,geo4,1976-08-15T17:24:05.000000,B
760815-17-M2,geo1,1976-08-15T17:24:08.000000,B
760815-17-N1,geo4,1976-08-15T17:03:09.000000,D
760815-17-N2,geo4,1976-08-15T17:43:44.000000,D
760815-19-M1,geo4,1976-08-15T19:18:00.000000,B
760815-19-M1,geo2,1976-08-15T19:18:01.000000,B
760815-19-M1,geo1,1976-08-15T19:18:24.000000,B
760815-19-M2,geo3,1976-08-15T19:55:23.000000,B
760815-19-M2,geo1,1976-08-15T19:55:27.000000,B
760815-19-M2,geo4,1976-08-15T19:55:31.000000,B
760815-20-M1,geo4,1976-08-15T20:29:24.455648,A
760815-20-M1,geo2,1976-08-15T20:29:30.465149,A
760815-20-M1,geo1,1976-08-15T20:29:36.474649,A
760815-20-M1,geo3,1976-08-15T20:29:42.543650,A
760815-20-M2,geo1,1976-08-15T20:41:10.720707,A
760815-20-M2,geo2,1976-08-15T20:41:12.922208,A
760815-20-M2,geo3,1976-08-15T20:41:13.814708,A
760815-20-M2,geo4,1976-08-15T20:41:18.991208,A
760815-20-M3,geo2,1976-08-15T20:52:34.103765,A
760815-20-M3,geo1,1976-08-15T20:52:34.877265,A
760815-20-M3,geo4,1976-08-15T20:52:36.186265,A
760815-20-M3,geo3,1976-08-15T20:52:39.161265,A
760815-21-M1,geo2,1976-08-15T21:41:06.000000,B
760815-21-M1,geo1,1976-08-15T21:41:12.000000,B
760815-21-M1,geo4,1976-08-15T21:41:14.000000,B
760815-21-M2,geo4,1976-08-15T21:24:15.000000,B
760815-21-M2,geo2,1976-08-15T21:24:27.000000,B
760815-21-M2,geo3,1976-08-15T21:24:23.000000,B
760815-22-M1,geo1,1976-08-15T22:35:04.000000,B
760815-22-M1,geo4,1976-08-15T22:35:08.000000,B
760815-22-M1,geo3,1976-08-15T22:35:03.000000,B
760815-22-M2,geo2,1976-08-15T22:54:05.000000,C
760815-22-M2,geo1,1976-08-15T22:54:05.000000,C
760815-22-N1,geo3,1976-08-15T22:19:53.000000,D
760816-00-M1,geo3,1976-08-16T00:50:20.891659,A
760816-00-M1,geo2,1976-08-16T00:50:21.486658,A
760816-00-M1,geo1,1976-08-16T00:50:21.784158,A
760816-00-M1,geo4,1976-08-16T00:50:22.617158,A
760816-01-M1,geo2,1976-08-16T01:10:42.000000,B
760816-01-M1,geo1,1976-08-16T01:10:48.000000,B
760816-01-M1,geo3,1976-08-16T01:10:48.000000,B
760816-01-M2,geo2,1976-08-16T01:17:30.455588,A
760816-01-M2,geo1,1976-08-16T01:17:30.872088,A
760816-01-M2,geo4,1976-08-16T01:17:35.751089,A
760816-01-M2,geo3,1976-08-16T01:17:36.584089,A
760816-01-N1,geo1,1976-08-16T01:45:14.000000,D
760816-02-M1,geo3,1976-08-16T02:08:57.557045,A
760816-02-M1,geo4,1976-08-16T02:09:06.006046,A
760816-02-M1,geo2,1976-08-16T02:09:07.612546,A
760816-02-M1,geo1,1976-08-16T02:09:12.372546,A
760816-04-M1,geo4,1976-08-16T04:08:14.853042,A
760816-04-M1,geo3,1976-08-16T04:08:17.054542,A
760816-04-M1,geo2,1976-08-16T04:08:17.114042,A
760816-04-M1,geo1,1976-08-16T04:08:17.947042,A
760816-04-M2,geo3,1976-08-16T04:29:25.000000,B
760816-04-M2,geo4,1976-08-16T04:29:31.000000,B
760816-04-M2,geo1,1976-08-16T04:29:19.000000,B
760816-04-M3,geo2,1976-08-16T04:02:20.000000,C
760816-04-M3,geo3,1976-08-16T04:02:21.000000,C
760816-04-N1,geo3,1976-08-16T04:23:34.000000,D
760816-05-M1,geo2,1976-08-16T05:15:38.867579,A
760816-05-M1,geo4,1976-08-16T05:15:39.700579,A
760816-05-M1,geo1,1976-08-16T05:15:39.819579,A
760816-05-M1,geo3,1976-08-16T05:15:41.069079,A
760816-05-M2,geo4,1976-08-16T05:22:00.000000,C
760816-05-M2,geo1,1976-08-16T05:21:52.000000,C
760816-06-M1,geo3,1976-08-16T06:26:19.000000,B
760816-06-M1,geo2,1976-08-16T06:26:17.000000,B
760816-06-M1,geo1,1976-08-16T06:26:16.000000,B
760816-06-M2,geo1,1976-08-16T06:35:19.000000,B
760816-06-M2,geo3,1976-08-16T06:35:25.000000,B
760816-06-M2,geo4,1976-08-16T06:35:21.000000,B
760816-06-M3,geo4,1976-08-16T06:43:24.000000,C
760816-06-M3,geo1,1976-08-16T06:43:24.000000,C
760816-06-M4,geo1,1976-08-16T06:56:05.000000,C
760816-06-M4,geo3,1976-08-16T06:56:19.000000,C
760816-06-N1,geo3,1976-08-16T06:29:46.000000,D
760816-07-M1,geo2,1976-08-16T07:09:45.233549,A
760816-07-M1,geo1,1976-08-16T07:09:45.412049,A
760816-07-M1,geo3,1976-08-16T07:09:45.769049,A
760816-07-M1,geo4,1976-08-16T07:09:45.769049,A
760816-07-N1,geo4,1976-08-16T07:28:57.000000,D
760816-08-M1,geo1,1976-08-16T08:22:13.000000,C
760816-08-M1,geo2,1976-08-16T08:22:16.000000,C
760816-08-M2,geo1,1976-08-16T08:34:52.768176,A
760816-08-M2,geo4,1976-08-16T08:34:53.244176,A
760816-08-M2,geo3,1976-08-16T08:34:53.422676,A
760816-08-M2,geo2,1976-08-16T08:34:53.541676,A
760816-08-M3,geo4,1976-08-16T08:38:23.865693,A
760816-08-M3,geo1,1976-08-16T08:38:25.948194,A
760816-08-M3,geo3,1976-08-16T08:38:27.019194,A
760816-08-M3,geo2,1976-08-16T08:38:29.994194,A
760816-08-M4,geo2,1976-08-16T08:42:05.358712,A
760816-08-M4,geo1,1976-08-16T08:42:10.475712,A
760816-08-M4,geo3,1976-08-16T08:42:10.892212,A
760816-08-M4,geo4,1976-08-16T08:42:11.487212,A
760816-08-N1,geo4,1976-08-16T08:45:04.000000,D
760816-10-M1,geo2,1976-08-16T10:03:36.452518,A
760816-10-M1,geo1,1976-08-16T10:03:36.631018,A
760816-10-M1,geo3,1976-08-16T10:03:36.928518,A
760816-10-M1,geo4,1976-08-16T10:03:36.988018,A
760816-10-M2,geo3,1976-08-16T10:41:27.000000,B
760816-10-M2,geo2,1976-08-16T10:41:26.000000,B
760816-10-M2,geo4,1976-08-16T10:41:30.000000,B
760816-11-M1,geo2,1976-08-16T11:10:39.000000,B
760816-11-M1,geo4,1976-08-16T11:10:41.000000,B
760816-11-M1,geo1,1976-08-16T11:10:40.000000,B
760816-11-M2,geo4,1976-08-16T11:44:14.898723,A
760816-11-M2,geo1,1976-08-16T11:44:14.898723,A
760816-11-M2,geo2,1976-08-16T11:44:15.374723,A
760816-11-M2,geo3,1976-08-16T11:44:15.374723,A
760816-11-N1,geo4,1976-08-16T11:40:55.000000,D
760816-13-M1,geo1,1976-08-16T13:07:42.000000,B
760816-13-M1,geo3,1976-08-16T13:07:34.000000,B
760816-13-M1,geo2,1976-08-16T13:07:37.000000,B
760816-13-M2,geo2,1976-08-16T13:14:39.044574,A
760816-13-M2,geo1,1976-08-16T13:14:39.639574,A
760816-13-M2,geo4,1976-08-16T13:14:39.937074,A
760816-13-M2,geo3,1976-08-16T13:14:40.472574,A
760816-14-M1,geo2,1976-08-16T14:01:16.253506,A
760816-14-M1,geo4,1976-08-16T14:01:16.908006,A
760816-14-M1,geo3,1976-08-16T14:01:18.395507,A
760816-14-M1,geo1,1976-08-16T14:01:19.764007,A
760816-14-M2,geo1,1976-08-16T14:47:59.230742,A
