,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new
0,760815-09-M3,761226-15-M9,1,1976-08-15 09:02:48.006803,0.6695493199728272,-4.506802721088436,3,35,C,AA
1,760815-10-M1,761226-15-M9,1,1976-08-15 10:36:40.883917,0.6670102012956346,-6.20748299319728,3,35,A,AA
2,760815-11-M1,761226-15-M9,1,1976-08-15 11:30:57.691837,0.6139672697572133,0.4081632653061224,3,35,C,BB
3,760815-11-M2,761226-15-M9,1,1976-08-15 11:48:35.246259,0.6392851191024053,-3.979591836734694,3,35,B,AA
4,760815-11-N1,761226-15-M9,1,1976-08-15 11:45:00.950340,0.635313468589918,-3.350340136054422,3,35,D,CC
5,760815-11-N2,761226-15-M9,1,1976-08-15 11:01:17.244558,0.6836172830775298,-2.644557823129252,3,35,D,AA
6,760815-12-M1,761226-15-M9,1,1976-08-15 12:45:38.477802,0.6306295533183516,-2.993197278911565,3,35,A,AA
7,760815-12-M4,761226-15-M9,1,1976-08-15 12:53:47.247619,0.6796338562904725,-4.047619047619048,3,35,C,AA
8,760815-12-N2,761226-15-M9,1,1976-08-15 12:12:14.609184,0.6498023631397304,-21.70918367346939,3,35,D,AA
9,760815-13-M1,761226-15-M9,1,1976-08-15 13:02:21.682716,0.7218366031116215,-0.3826530612244898,3,35,A,AA
10,760815-13-M2,761226-15-M9,1,1976-08-15 13:58:27.508339,0.7032305556129917,-2.848639455782313,3,35,A,AA
11,760815-13-N1,761226-15-M9,1,1976-08-15 13:18:39.552721,0.6137362417676445,-0.5527210884353742,3,35,D,AA
12,760815-14-M1,761226-15-M9,1,1976-08-15 14:14:54.845578,0.6589118325080766,-3.112244897959184,3,35,B,AA
13,760815-14-M2,761226-15-M9,1,1976-08-15 14:45:50.126543,0.7019731963785214,-4.532312925170069,3,35,A,AA
14,760815-15-M1,761226-15-M9,1,1976-08-15 15:12:07.826190,0.7672158640192712,0.7738095238095238,3,35,B,AA
