evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new
760815-09-M3,761226-15-M1,1,1976-08-15 09:02:47.785714,0.6621705726918542,-4.285714285714287,3,35,C,AA
760815-10-M1,761226-15-M1,1,1976-08-15 10:36:41.615210,0.6625429894453114,-6.938775510204082,3,35,A,AA
760815-11-M1,761226-15-M1,1,1976-08-15 11:30:57.334694,0.6089009868386198,0.7653061224489797,3,35,C,BB
760815-11-M2,761226-15-M1,1,1976-08-15 11:48:35.339796,0.6298767528473941,-4.0731292517006805,3,35,B,AA
760815-11-N1,761226-15-M1,1,1976-08-15 11:45:00.797279,0.6278527969483042,-3.1972789115646263,3,35,D,CC
760815-11-N2,761226-15-M1,1,1976-08-15 11:01:17.899320,0.6792097789475686,-3.299319727891157,3,35,D,AA
760815-12-M1,761226-15-M1,1,1976-08-15 12:45:38.307734,0.6228644676239502,-2.8231292517006805,3,35,A,AA
760815-12-M4,761226-15-M1,1,1976-08-15 12:53:47.086054,0.6759124648167005,-3.886054421768708,3,35,C,AA
760815-12-N2,761226-15-M1,1,1976-08-15 12:12:12.900000,0.6477834986388353,-20.000000000000004,3,35,D,AA
760815-13-M1,761226-15-M1,1,1976-08-15 13:02:21.504145,0.7179776261743392,-0.2040816326530612,3,35,A,AA
760815-13-M2,761226-15-M1,1,1976-08-15 13:58:26.181809,0.695678170856243,-1.522108843537415,3,35,A,AA
760815-13-N1,761226-15-M1,1,1976-08-15 13:18:39.374150,0.6071817040093294,-0.3741496598639456,3,35,D,AA
760815-14-M1,761226-15-M1,1,1976-08-15 14:14:52.132993,0.6522245464729676,-0.3996598639455783,3,35,B,AA
760815-14-M2,761226-15-M1,1,1976-08-15 14:45:47.031305,0.6986272130817357,-1.4370748299319729,3,35,A,AA
760815-15-M1,761226-15-M1,1,1976-08-15 15:12:07.647619,0.7610815140402638,0.9523809523809524,3,35,B,AA
760815-15-M2,761226-15-M1,1,1976-08-15 15:38:37.108479,0.7125437566755106,-4.149659863945579,3,35,A,AA
760815-15-N1,761226-15-M1,1,1976-08-15 15:52:11.117007,0.5998372869078845,-0.0170068027210884,3,35,D,AA
760815-16-M1,761226-15-M1,1,1976-08-15 16:14:36.137626,0.6609150107320677,-3.886054421768708,3,35,A,AA
760815-16-M2,761226-15-M1,1,1976-08-15 16:22:41.134002,0.6726839364086357,-5.969387755102042,3,35,A,AA
760815-16-M3,761226-15-M1,1,1976-08-15 16:25:03.150594,0.655843473807901,-1.79421768707483,3,35,A,AA
760815-16-M4,761226-15-M1,1,1976-08-15 16:30:07.834694,0.6125184976395246,-6.734693877551021,3,35,C,BB
760815-17-M1,761226-15-M1,1,1976-08-15 17:18:08.611959,0.7110905327258751,-4.982993197278912,3,35,A,AA
760815-17-M2,761226-15-M1,1,1976-08-15 17:24:05.424150,0.6533353915195409,-4.95748299319728,3,35,B,AA
760815-17-N1,761226-15-M1,1,1976-08-15 17:03:00.644218,0.6244435058034834,-3.04421768707483,3,35,D,AA
760815-19-M1,761226-15-M1,1,1976-08-15 19:17:56.907143,0.6003237944658584,-5.773809523809525,3,35,B,AA
760815-19-M2,761226-15-M1,1,1976-08-15 19:55:26.446599,0.6505828038848184,-2.746598639455782,3,35,B,AA
760815-20-M1,761226-15-M1,1,1976-08-15 20:29:51.942597,0.643046608464101,-4.557823129251701,3,35,A,AA
760815-20-M2,761226-15-M1,1,1976-08-15 20:41:23.306086,0.6872117894582981,-4.6938775510204085,3,35,A,AA
760815-20-M3,761226-15-M1,1,1976-08-15 20:52:56.921256,0.654640444124834,-11.539115646258503,3,35,A,AA
760815-21-M1,761226-15-M1,1,1976-08-15 21:41:06.967687,0.750817363694779,1.1989795918367347,3,35,B,AA
760815-21-M2,761226-15-M1,1,1976-08-15 21:24:16.343198,0.6729127644754592,-2.5765306122448983,3,35,B,AA
760815-22-M1,761226-15-M1,1,1976-08-15 22:35:08.424150,0.6683278663098983,0.8758503401360545,3,35,B,DD
760815-22-M2,761226-15-M1,1,1976-08-15 22:54:08.827551,0.7260840390337284,-10.127551020408164,3,35,C,AA
760815-22-N1,761226-15-M1,1,1976-08-15 22:19:27.011224,0.6372211083668051,-4.311224489795919,3,35,D,AA
760816-00-M1,761226-15-M1,1,1976-08-16 00:50:36.898309,0.6974369276355585,-16.00340136054422,3,35,A,AA
760816-01-N1,761226-15-M1,1,1976-08-16 01:45:11.746259,0.6775403338762145,-0.6462585034013606,3,35,D,CC
760816-02-M1,761226-15-M1,1,1976-08-16 02:09:19.840447,0.6220976789772787,-9.75340136054422,3,35,A,BB
760816-04-M1,761226-15-M1,1,1976-08-16 04:08:24.537405,0.7071058552256867,-10.595238095238097,3,35,A,AA
760816-04-M2,761226-15-M1,1,1976-08-16 04:29:21.668027,0.6479262686865086,-0.0680272108843537,3,35,B,DD
760816-04-M3,761226-15-M1,1,1976-08-16 04:02:23.463946,0.6785746839961871,-12.363945578231291,3,35,C,AA
760816-05-M1,761226-15-M1,1,1976-08-16 05:15:39.483932,0.8146866859376667,0.6802721088435375,3,35,A,AA
760816-05-M2,761226-15-M1,1,1976-08-16 05:21:56.745578,0.7073559821996344,-1.4455782312925172,3,35,C,BB
760816-06-M1,761226-15-M1,1,1976-08-16 06:26:09.931292,0.6401783161384497,2.602040816326531,3,35,B,DD
760816-06-M2,761226-15-M1,1,1976-08-16 06:35:22.894218,0.6774235853680703,-0.1275510204081632,3,35,B,DD
760816-06-M4,761226-15-M1,1,1976-08-16 06:56:22.509184,0.6852854687473975,-16.70918367346939,3,35,C,AA
760816-07-M1,761226-15-M1,1,1976-08-16 07:09:44.682659,0.817167177291976,0.663265306122449,3,35,A,AA
760816-07-N1,761226-15-M1,1,1976-08-16 07:28:55.821429,0.6114616974947731,0.1785714285714285,3,35,D,CC
760816-08-M1,761226-15-M1,1,1976-08-16 08:22:10.908503,0.6329156252325359,-2.5085034013605445,3,35,C,AA
