evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
760815-11-M2,760914-00-M1,1976-08-15 11:48:23.441667,AA,repeating,123.8379845677778,254.76479074066668,0.2106879822569443,0.009030562023675,254.76479074066668,49.16972925,128.29848202204778,0.4398187808552993,254.3732748916036,2.310200333046271
760815-13-M1,761013-12-M1,1976-08-15 13:02:20.775063,AA,repeating,122.24536553408888,253.7741355424889,0.2620460076736111,0.0109470115999064,253.7741355424889,15.050001,200.46304522950308,1.5800235019092943,167.74928605778337,0.0830098359629649
760815-15-M2,760815-15-M2,1976-08-15 15:38:30.833819,AA,repeating,119.29530849807406,251.8991850988444,0.3704957617939814,0.0082276323717538,251.8991850988444,19.402297,174.1143432412808,0.0124621344402045,265.3578073914389,0.2003167738599007
760815-17-M1,760815-17-M1,1976-08-15 17:18:03.378966,AA,repeating,117.6638156678222,250.8273992949333,0.4396224417361111,0.0066541251376703,250.8273992949333,10.6340145,223.08319887373733,0.157699711169273,142.11028561580457,0.8574769418287909
760815-19-M2,760815-19-M2,1976-08-15 19:55:22.575000,AA,repeating,115.42165,249.2744333333333,0.5488723958333334,0.0071312444975353,249.2744333333333,38.89141275,225.51481272646387,1.1277627798786227,168.665492099284,1.6179692394492893
760815-20-M3,760815-20-M3,1976-08-15 20:52:40.807140,AA,repeating,114.69109185244444,248.75506560888888,0.5886667493055555,0.0066388016522094,248.75506560888888,45.31964425,178.68746288338878,0.1043851176511762,239.07299911851268,0.1062934862366618
760815-21-M2,760815-21-M2,1976-08-15 21:24:11.816667,AA,repeating,114.30039086413332,248.47491604933336,0.6105534336458334,0.0046277964412069,248.47491604933336,30.04983075,98.3475490381258,1.1734651528954043,197.9195238915913,0.1673235490910968
760815-22-M2,761113-01-M2,1976-08-15 22:53:59.000000,AA,repeating,113.26417777777776,247.6981333333333,0.6729050925925926,0.0134779082203067,247.6981333333333,33.954933,178.79505720995098,0.1992054050969741,152.8337003646627,0.1593396885555735
760816-00-M1,760816-00-M1,1976-08-16 00:50:21.369908,AA,repeating,112.04762860758518,246.75715067893333,0.7537195591203703,0.0106048590426314,246.75715067893333,28.4478755,194.86203849151823,1.4936221813309938,34.59949424646148,1.6757619546938547
760816-04-M1,760816-04-M1,1976-08-16 04:08:12.767167,AA,repeating,110.2336641234074,245.2749312987259,0.8911199903587963,0.0107964473110671,245.2749312987259,26.653572250000003,204.49810511877047,1.4625652182743625,228.5131072081734,0.0113132458510005
760816-05-M1,760914-23-M1,1976-08-16 05:15:40.914204,AA,repeating,109.6745447728,244.79575704551112,0.937973544027778,0.0160962430265764,244.79575704551112,6.0460892500000005,13.529939083717125,1.3296012079594348,57.1406788630321,0.4705462148306019
760816-06-M3,760914-20-M1,1976-08-16 06:43:33.500000,CC,repeating,108.99025185185188,244.20025185185185,0.9989988425925926,0.0076844862998069,244.20025185185185,37.298471,-1.0,-1.0,-1.0,-1.0
760816-06-M4,761113-04-N1,1976-08-16 06:56:02.450000,AA,repeating,108.89167333333332,244.12130148148148,1.0076672453703703,0.0133219458430477,244.12130148148148,48.901617,294.9563531833593,2.011647279983864,213.92749731006745,0.1825046144530442
760816-07-M1,760914-23-M1,1976-08-16 07:09:45.770924,AA,repeating,108.79390863122964,244.03390863122965,1.0171964227314814,0.0171826595862816,244.03390863122965,8.13809625,28.642791347759896,4.093286511500941,63.82427953007465,5.519516811118327
760816-08-M2,760914-23-M1,1976-08-16 08:34:52.669176,AA,repeating,108.17864661617776,243.4786466161778,1.076304041388889,0.0182935678633115,243.4786466161778,5.56862325,41.590964227607074,4.804656596091784,57.92881367720118,0.4654239256656817
760816-08-M3,760914-21-M1,1976-08-16 08:38:26.406819,AA,repeating,108.15331474737778,243.4541504039556,1.078777856701389,0.0052358535234682,243.4541504039556,11.29915075,66.8792151236858,26.442014117519545,137.70827699538836,0.5790775991697709
760816-08-M4,760914-20-M4,1976-08-16 08:42:08.903462,AA,repeating,108.12694477487408,243.4310766780148,1.0813530493287038,0.0098205942663033,243.4310766780148,34.42976325,186.95104959011127,5.570344145223731,124.40748114145462,1.350853950518736
760816-10-M1,760914-23-M1,1976-08-16 10:03:37.275018,AA,repeating,107.57758222008889,242.92413444257767,1.1379314238194445,0.0161987702947718,242.92413444257767,5.1914125,57.56884831349485,7.980758539733412,62.50404769392892,3.7036449537060654
760816-11-M1,760816-11-M1,1976-08-16 11:10:34.100000,AA,repeating,107.14757481481482,242.5236355555556,1.184422453703704,0.0052892158576834,242.5236355555556,30.377042,142.8256668651077,4.481580434007141,164.3350338131185,4.044169732652329
760816-13-M2,760914-23-M1,1976-08-16 13:14:39.748449,AA,repeating,106.38543349417778,241.80180013786665,1.2705989403819444,0.0221321688047826,241.80180013786665,5.7690485,40.22965289277671,2.498501145738739,97.00073396672072,2.555803957836949
