evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
760816-16-M1,760915-09-M1,1976-08-16 16:18:12.054622,AA,repeating,105.35292847804442,240.79292847804447,1.3980561877546296,0.0214932561306059,240.79292847804447,6.05875925,44.90926378793191,0.6898323622560741,98.0859837678144,2.6271694705259385
760816-17-M1,760915-09-M1,1976-08-16 17:41:10.811707,AA,repeating,104.92037229271112,240.3503722927111,1.455680691053241,0.0219378065978809,240.3503722927111,8.794899000000001,77.21622782827022,1.3730798015426464,99.60699615977414,2.241585225937936
760816-18-M1,760915-06-M1,1976-08-16 18:52:06.083387,AA,repeating,104.55843826762964,239.98843826762965,1.5049315206828706,0.0095023665105962,239.98843826762965,10.55085125,89.33470831037435,0.0443028675569203,105.35134395547816,0.0840327713757042
760816-19-M1,760915-09-M1,1976-08-16 19:12:29.939813,AA,repeating,104.45778223607408,239.88333868328888,1.519096525613426,0.022116267966993,239.88333868328888,5.4636915,58.29522322112258,0.6438752787163077,99.07524653629756,1.4973444907604776
760816-20-M1,760915-09-M1,1976-08-16 20:44:47.392976,AA,repeating,104.01112062435556,239.42760052029627,1.5831874187037036,0.0216309651819604,239.42760052029627,5.092433,127.12245228021985,1.7990112454660263,95.72675726840431,2.575659882639199
760816-22-M1,760915-09-M1,1976-08-16 22:27:44.989890,AA,repeating,103.54000074888889,238.9300007488889,1.654687382986111,0.0212907351475012,238.9300007488889,10.187841,127.1166036003334,1.809930751890397,106.77028752315115,0.3365262719311437
760816-23-M1,760816-23-M1,1976-08-16 23:18:00.613215,AA,repeating,103.31662124333332,238.6866212433333,1.6895904307291667,0.0043687381926456,238.6866212433333,8.818198,48.061848910440986,0.0466914225669851,96.21274690054707,0.1629123809388029
760817-00-M1,761114-11-M1,1976-08-17 00:09:23.251202,AA,repeating,103.08827768874072,238.4499332264889,1.7252691111342593,0.0208994605365088,238.4499332264889,10.81768775,127.4828227696813,0.7462581502730452,94.25445251284296,3.273872914576887
760817-01-M4,761114-11-M1,1976-08-17 01:57:38.847540,AA,repeating,102.63169792355556,237.9571224044444,1.8004496243055557,0.021097882182609,237.9571224044444,9.37721175,127.12245228021985,1.7990112454660263,61.78674341482431,0.7833287497685102
760817-05-M3,761114-11-M1,1976-08-17 05:44:17.670223,AA,repeating,101.73584176456296,236.97584176456297,1.9578434053587963,0.0210107569924892,236.97584176456297,9.863096,12.300094711408942,1.767356721493864,95.72675726840431,2.575659882639199
