evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
760831-16-M5,770126-11-M4,1,1976-08-31 16:38:06.190859,0.906076286762055,0.6037414965986395,3,35,A,AA,repeating,39,2.402722,1976-08-31 16:38:06.794600,294.3179884711111,250.0430825244445,16.411884196759257,sunrise1,79.90000012975135,0.0067748148977455,92.77342761314029,0.0052878141202177,87.33345979647926,0.6126437762691578
760831-17-M2,770126-11-M4,1,1976-08-31 17:10:26.030070,0.9001885907527735,0.8928571428571429,3,35,A,AA,repeating,39,1.780613,1976-08-31 17:10:26.922927,295.2864956532,250.7488603433333,16.434339385729167,sunrise1,151.70000012974728,0.0071953808466751,54.04798347619056,0.3512574068781297,4.495833515854135,3.025828265709844
761029-16-M4,770126-11-M4,1,1976-10-29 16:50:32.816327,0.9280771061048858,0.8503401360544218,3,35,B,AA,repeating,39,1.824831,1976-10-29 16:50:33.666667,296.9814024693037,254.5286370371556,16.389278549386574,sunrise3,88.40000012975086,0.0073991434797079,75.83206341633388,3.004811154831636,96.2052464433454,0.1057378401733438
761029-17-M3,770126-11-M4,1,1976-10-29 17:15:38.262414,0.9287103366873816,0.7227891156462586,3,35,A,AA,repeating,39,1.9466,1976-10-29 17:15:38.985203,297.7390594325778,255.0838614055111,16.406701217627315,sunrise3,87.40000012975092,0.0078445448213989,76.63145766781007,0.7335640096066453,85.44923987982355,0.7546549788059786
761029-17-M4,770126-11-M4,1,1976-10-29 17:27:21.675170,0.904995967513069,0.8248299319727892,3,35,B,AA,repeating,39,1.840137,1976-10-29 17:27:22.500000,298.084,255.335,16.41484375,sunrise3,164.20000012974657,0.0059077550408524,92.5340901695622,0.1081840638058851,76.7939046103258,0.907021510249509
761029-17-M5,770126-11-M4,1,1976-10-29 17:39:35.948979,0.913969131725432,0.8843537414965987,3,35,B,AA,repeating,39,1.77381,1976-10-29 17:39:36.833333,298.4520074072444,255.6069753085185,16.423342978391204,sunrise3,81.20000012975127,0.0064471374278037,91.09673245985336,0.0665663142494505,89.34493670279969,0.3338858914810704
761029-18-M3,770126-11-M4,1,1976-10-29 18:33:57.444558,0.904919211779076,-0.1445578231292517,3,35,C,AA,repeating,39,2.807144,1976-10-29 18:33:57.300000,300.0558311111111,256.80437333333333,16.461079861111113,sunrise3,243.80000012974205,0.0057020557589333,86.5415766129249,0.1661830324632987,72.27843168850607,0.2462518837103441
761227-20-M2,770126-11-M4,1,1976-12-27 20:17:25.494218,0.9121438881736657,0.7057823129251701,3,35,B,AA,repeating,39,5.106123,1976-12-27 20:17:26.200000,298.5336414814815,256.10414814814817,16.353254629629628,sunrise5,52.40000012975209,0.0088834559311301,72.0613407523228,3.4332312098449784,91.3527131239824,0.2823142240655161
761227-20-M3,770126-11-M4,1,1976-12-27 20:26:08.483673,0.9260742243742024,0.8163265306122449,3,35,B,AA,repeating,39,3.825851,1976-12-27 20:26:09.300000,298.7971288888889,256.2978888888889,16.35930902777778,sunrise5,75.4000001297516,0.0078962526802164,72.02466367629722,0.8522374611074965,81.3229186574947,0.7789644123754332
761227-20-M4,770126-11-M4,1,1976-12-27 20:34:56.741837,0.9303530919544768,0.8248299319727892,3,35,B,AA,repeating,39,1.824491,1976-12-27 20:34:57.566667,299.0632187656,256.49354321,16.3654232253125,sunrise5,588.800000129817,0.0068673049683556,92.33709480644596,0.0178066995407125,90.84831882153432,0.0901881934593298
