evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
770110-06-M2,770110-06-M2,1977-01-10 06:20:57.829980,BB,isolated,131.80413704444445,270.60048222666666,0.147370717361111,0.006577144473444,270.60048222666666,2.145012,192.64439418953447,44.74559713421997,217.25704979949813,70.69728224643889,unclear
770409-03-M2,770409-03-M2,1977-04-09 03:14:29.100000,DD,isolated,126.16536444444444,266.1754933333333,0.3616215277777778,0.0162723991996104,266.1754933333333,1.393198,-1.0,-1.0,-1.0,-1.0,unclear
761112-06-M1,761112-06-M1,1976-11-12 06:21:41.032109,AA,isolated,125.22233265402964,265.63870540284444,0.3744332420023148,0.0065711594592374,265.63870540284444,4.5811235,197.7972548869606,4.100673225310791,149.38225228230823,28.962871105866743,unclear
760815-17-N2,760815-17-N2,1976-08-15 17:43:44.100000,DD,isolated,117.27578222222222,250.5590355555556,0.4574548611111111,0.0108419566150924,250.5590355555556,0.682314,-1.0,-1.0,-1.0,-1.0,unclear
761212-00-M2,761212-00-M2,1976-12-12 00:25:11.633333,DD,isolated,122.52647604945186,264.34365975314074,0.5253082561689815,0.0085710552655901,264.34365975314074,1.024831,-1.0,-1.0,-1.0,-1.0,unclear
760815-21-M1,760815-21-M1,1976-08-15 21:41:07.891667,AA,isolated,114.09814098758515,248.32438641970367,0.6223135609606482,0.0113183246512846,248.32438641970367,2.732484,107.5313144168614,0.7546696484418517,103.83911261743518,32.98707555182081,unclear
770310-21-N1,770310-21-N1,1977-03-10 21:36:21.950000,AA,isolated,120.6897725925926,262.9267481481482,0.6502540509259259,0.0048283255970017,262.9267481481482,2.2919225,80.9388761931941,137.5300103235395,278.237802739936,0.0407999691431949,unclear
770310-23-M4,770310-23-M4,1977-03-10 23:53:47.200000,AA,repeating,119.19075259259256,261.74522962962965,0.7456851851851851,0.0146418548763014,261.74522962962965,1.5470245,154.62704167957617,8.995932217196978,97.35028352612036,1.1205519288280965,unclear
770209-10-M4,770310-23-M4,1977-02-09 10:55:07.275000,AA,repeating,119.00204,261.8967,0.7518203124999999,0.0136927828784216,261.8967,2.6982150000000003,121.75487517731015,0.6110959736890165,159.24173769585937,0.5799525001603985,unclear
761113-00-N1,770310-23-M4,1976-11-13 00:57:18.475000,AA,repeating,113.85247703703703,256.45247703703706,1.1491721643518518,0.0091430601927088,256.45247703703706,3.3013615,124.4963382717342,0.4255213924528071,158.28697155578388,121.2652737408626,unclear
760916-04-N1,760916-04-N1,1976-09-16 04:52:04.066667,BB,isolated,104.60153679012345,244.5619209876543,2.4293873456790123,0.0042838103535445,244.5619209876543,1.7587309999999998,230.32054732852544,90.07209977968375,132.54114603492516,16.72975045911427,unclear
770215-02-N1,770215-02-N1,1977-02-15 02:55:43.000000,AA,isolated,92.67761481481485,230.09142222222223,6.418900462962963,0.0072800766057013,230.09142222222223,2.92304475,337.1983410623505,1.3984714607430442,334.72588502780457,1.5045387427197192,unclear
770124-19-M1,761028-01-M1,1977-01-24 19:25:27.432628,AA,repeating,108.22057990554072,213.4257717891556,14.692157785046296,0.0077285310516804,213.4257717891556,2.31428675,348.5588884485321,0.3203632597979628,351.0931033444072,0.1662456334896175,R2
761028-01-M1,761028-01-M1,1976-10-28 01:02:47.832639,AA,repeating,96.9826524904,212.1132789712,14.7311091740625,0.0081247326174854,212.1132789712,3.8676879999999993,347.7390971444253,0.3457998423049154,357.41496586685327,0.4386274167609542,R2
770223-19-N2,770223-19-N2,1977-02-23 19:17:27.825000,AA,isolated,208.18995,219.8405633333333,15.100669270833333,0.0095372013066237,219.8405633333333,4.192432999999999,349.08353257338047,0.2797686427818561,341.1185523744522,0.7824258884069741,R2
770423-21-M6,770423-21-M6,1977-04-23 21:30:21.593409,BB,isolated,201.532495731042,218.39178510443452,15.122645757052467,0.0110078135916767,218.39178510443452,3.806917,356.71495555081344,0.1007080123729048,208.8785315490374,119.29524939710684,R2
761127-10-M3,761127-10-M3,1976-11-27 10:48:25.875744,AA,isolated,252.31661731697776,230.63043357582225,15.559674487777777,0.0119660109648083,230.63043357582225,2.4893715,130.85359390545818,1.067048660451463,200.55201174242933,4.094433485934038,geophone_rock
770125-16-M1,761028-23-M3,1977-01-25 16:17:44.398339,AA,repeating,255.18882526404448,232.3293505451408,15.561798591886577,0.0122454817809686,232.3293505451408,2.3836742500000003,154.30666390563653,2.1768909701876686,66.35964244154712,0.8393910114338972,geophone_rock
761227-01-M1,761028-23-M3,1976-12-27 01:17:59.566840,AA,repeating,253.9609611365925,231.59519215525927,15.56197415324074,0.0090532347318637,231.59519215525927,2.25977975,179.98568854627726,6.143853342701022,212.17738708318524,2.438702853258979,geophone_rock
770325-20-M1,770325-20-M1,1977-03-25 20:16:01.400000,BB,isolated,252.0627585185185,231.18001185185184,15.59446064814815,0.0074003453912745,231.18001185185184,2.4673480000000003,141.1545977025718,2.167050081332476,221.9484663404458,76.58884939958585,unclear
770325-20-M2,770325-20-M2,1977-03-25 20:36:17.394808,AA,isolated,253.09868894897767,231.57633608557035,15.608534662129632,0.0096399608050613,231.57633608557035,1.8840995,180.51764346702507,10.349827008872452,246.9670510780892,49.42730838294331,unclear
770424-09-M1,761028-23-M3,1977-04-24 09:32:24.390663,AA,repeating,251.5207356808,230.7637273272,15.6240670215625,0.0150697979148447,230.7637273272,4.17117425,284.730182379265,18.877387432188204,82.4642448452789,0.5869839581687016,unclear
761028-23-M3,761028-23-M3,1976-10-28 23:47:26.153114,AA,repeating,258.3369224912,232.6631336536593,15.678774920300926,0.0118553266055702,232.6631336536593,1.73758575,165.30022208585763,1.5130107316801298,175.77771162223817,13.306546443733074,geophone_rock
760830-23-M2,761028-23-M3,1976-08-30 23:53:49.919646,AA,repeating,256.7694183887111,228.6693812179556,15.714466662569444,0.0095284303035769,228.6693812179556,3.3170925,156.2155675283599,4.867701211136438,120.00915830478156,1.0053000470955538,geophone_rock
760929-13-M1,761028-23-M3,1976-09-29 13:25:00.495251,AA,repeating,262.9237075229778,234.1379465299704,15.785596009849538,0.0100012678391561,234.1379465299704,2.10102125,165.57224415584,2.7118226182107903,167.71118664584228,3.0790044448471736,geophone_rock
770126-00-N1,770126-00-N1,1977-01-26 00:33:15.900000,AA,isolated,277.1710311111111,242.6796533333333,15.905913194444445,0.0038827341562155,242.6796533333333,7.23052825,345.38928399137603,0.6101388678763452,338.8155632498348,0.7980084864364073,unclear
760930-02-N2,760930-02-N2,1976-09-30 02:10:33.800000,DD,isolated,291.55802666666665,250.36535111111112,16.317231481481482,0.0062925334158544,250.36535111111112,0.621769,-1.0,-1.0,-1.0,-1.0,geophone_rock
760831-14-M4,760831-14-M4,1976-08-31 14:40:59.383333,AA,isolated,290.71856913562965,247.4844474072889,16.330548418206018,0.005815960745022,247.4844474072889,3.62814725,122.2000605816722,59.74481632277383,244.5597455850801,2.3257585835887458,geophone_rock
770126-11-M2,770126-11-M2,1977-01-26 11:10:16.958677,AA,isolated,298.9574310373037,256.65516988037035,16.348286558761576,0.0068824506187761,256.65516988037035,5.49107225,201.028718027624,104.97471187545214,266.3357418888655,27.445146294685262,unclear
761128-06-M4,761128-06-M4,1976-11-28 06:19:16.675000,AA,isolated,298.2926214814815,255.69839814814816,16.37276244212963,0.0075784904705875,255.69839814814816,27.27313025,126.94358563502848,1.0238738436440953,131.85416178771985,61.75675986707576,unclear
761227-21-M1,761227-21-M1,1976-12-27 21:02:01.050000,AA,isolated,299.87918,257.0948333333333,16.384213541666664,0.0065003805083063,257.0948333333333,2.71998375,175.79862070630136,3.9528693778252832,125.12801535904444,0.5356200265897867,geophone_rock
761029-17-M2,761029-17-M2,1976-10-29 17:06:21.248157,AA,isolated,297.4587027753778,254.87786968777772,16.400245927743057,0.0067614838716529,254.87786968777772,2.12610625,158.31893101384642,37.791332889833626,176.3995247098297,3.7387608922503848,geophone_rock
761128-19-M3,761128-19-M3,1976-11-28 19:49:05.100000,CC,isolated,319.76804000000004,273.4671466666667,16.93512847222222,0.0109429777972358,273.4671466666667,10.6925175,-1.0,-1.0,-1.0,-1.0,geophone_rock
761128-22-M1,761030-08-M1,1976-11-28 22:29:40.881399,AA,repeating,323.42291903666666,276.9032022752,17.046653719895836,0.0109692862837963,276.9032022752,9.564967,182.9828871443169,13.578275405607236,329.0787696671983,30.714113349002183,unclear
761030-08-M1,761030-08-M1,1976-10-30 08:54:21.631898,AA,repeating,321.9446784807407,275.4296913415112,17.058583702523148,0.0082638621119781,275.4296913415112,1.84872525,175.4406005267348,12.518325120625276,96.02828451890528,1.4956705585708927,unclear
760930-21-M4,761030-08-M1,1976-09-30 21:00:53.375000,AA,repeating,321.2589777777778,274.648187037037,17.102180266203703,0.0103796147674078,274.648187037037,2.127977,221.89429268370327,57.46512403519407,197.0778666287374,8.828787313980332,geophone_rock
760930-21-M2,760930-21-M2,1976-09-30 21:28:16.301767,AA,isolated,321.8531295171556,275.2179991206074,17.12119562230324,0.0087917349170028,275.2179991206074,1.59200775,243.70153474303743,40.60139362104748,198.05948966615432,6.312408129386238,unclear
761129-01-M1,770225-21-M1,1976-11-29 01:21:12.195231,AA,repeating,327.1423360821333,280.52233608213334,17.165766148506947,0.0106234248939921,280.52233608213334,2.17262,269.81458564686216,10.57725002184741,253.8406336959204,34.20824043073593,unclear
761228-15-M1,761228-15-M1,1976-12-28 15:54:21.633106,BB,isolated,328.2396917711407,281.7496917711408,17.170562883175155,0.0118425873878456,281.7496917711408,3.5502273333333334,273.7522461511036,12.292901470363978,272.2843334143407,5.708173997819505,unclear
770225-21-M1,770225-21-M1,1977-02-25 21:42:08.046337,AA,repeating,328.0814083814963,282.0914083814963,17.20113479556713,0.0109763738340206,282.0914083814963,1.6948990000000002,271.5907175978218,7.983791387734007,187.2168496006206,40.29480942360463,unclear
770327-11-M3,770327-11-M3,1977-03-27 11:17:30.200000,AA,isolated,326.3311792592592,280.5811792592592,17.220488425925925,0.0085839188818917,280.5811792592592,2.5916672500000004,267.8025505918026,27.427633228686386,200.84555423894568,2.561120228884714,unclear
770127-08-M1,770225-21-M1,1977-01-27 08:15:24.025000,AA,repeating,330.2681862962963,284.0081862962963,17.22684056712963,0.0105586118913598,284.0081862962963,2.0965995,268.6751597959905,10.350216629113536,343.2331489462128,34.90600445236246,R2
770128-00-M1,770128-00-M1,1977-01-28 00:19:48.733333,BB,isolated,347.6169955555556,302.8798281481482,17.896570987654318,0.0078474624915415,302.8798281481482,3.158957666666667,273.4427191887922,86.16337320874025,124.50962621751128,67.28427110791628,unclear
761129-19-M2,761129-19-M2,1976-11-29 19:18:54.785594,BB,isolated,346.9426094917333,301.8330444070222,17.914175759189817,0.0083929592727462,301.8330444070222,1.1468263333333335,165.57442212765352,75.5192665376846,216.91369390041632,74.51391976011476,unclear
761031-06-M2,761031-06-M2,1976-10-31 06:41:45.000000,DD,isolated,346.378,301.2922222222222,17.966493055555556,0.0106339026321345,301.2922222222222,0.387756,-1.0,-1.0,-1.0,-1.0,geophone_rock
761001-18-M1,761001-18-M1,1976-10-01 18:31:57.200000,BB,isolated,345.0828503704544,299.896462222326,17.998752314818674,0.0076958081273458,299.896462222326,4.364626666666666,273.75301980733786,59.76478276293816,246.69796503338884,1.4472047533460617,unclear
