evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
770110-06-M2,770110-06-M2,3,1977-01-10 06:20:55.629980,1.0,0.0,3,35,A,BB,isolated,1,3.211225,1977-01-10 06:20:55.629980,131.80495185925926,270.6009711155555,0.1473452543981481,night6,35.00000012975184,0.0128220264521097,192.64439418953447,44.74559713421997,217.25704979949813,70.69728224643889,unclear
770110-06-M2,770110-06-M2,4,1977-01-10 06:20:58.729980,1.0,0.0,3,35,A,BB,isolated,1,1.12313,1977-01-10 06:20:58.729980,131.80380371111113,270.60028222666665,0.1473811340277777,night6,27.700000129751736,0.0037294115072551,192.64439418953447,44.74559713421997,217.25704979949813,70.69728224643889,unclear
770110-06-M2,770110-06-M2,1,1977-01-10 06:20:59.129980,1.0,0.0,3,35,A,BB,isolated,1,2.100681,1977-01-10 06:20:59.129980,131.80365556296297,270.60019333777774,0.1473857636574074,night6,27.90000012975174,0.0031799954609674,192.64439418953447,44.74559713421997,217.25704979949813,70.69728224643889,unclear
770409-03-M2,770409-03-M2,3,1977-04-09 03:14:29.100000,1.0,0.0,3,35,B,DD,isolated,1,1.393198,1977-04-09 03:14:29.100000,126.16536444444444,266.1754933333333,0.3616215277777778,night9,22.900000129751668,0.0162723991996104,-1.0,-1.0,-1.0,-1.0,unclear
761112-06-M1,761112-06-M1,3,1976-11-12 06:21:39.457109,1.0,0.0,3,35,A,AA,isolated,1,2.236055,1976-11-12 06:21:39.457109,125.22272932069627,265.6389854028444,0.3744150128356481,night4,21.300000129751645,0.0156771480550167,197.7972548869606,4.100673225310791,149.38225228230823,28.962871105866743,unclear
761112-06-M1,761112-06-M1,4,1976-11-12 06:21:41.157109,1.0,0.0,3,35,A,AA,isolated,1,1.411906,1976-11-12 06:21:41.157109,125.22230117254814,265.6386831806222,0.3744346887615741,night4,19.60000012975162,0.0042101595524807,197.7972548869606,4.100673225310791,149.38225228230823,28.962871105866743,unclear
761112-06-M1,761112-06-M1,1,1976-11-12 06:21:41.757109,1.0,0.0,3,35,A,AA,isolated,1,9.434355,1976-11-12 06:21:41.757109,125.22215006143703,265.6385765139556,0.3744416332060185,night4,22.600000129751663,0.0036138811004779,197.7972548869606,4.100673225310791,149.38225228230823,28.962871105866743,unclear
761112-06-M1,761112-06-M1,2,1976-11-12 06:21:41.757109,1.0,0.0,3,35,A,AA,isolated,1,5.242178,1976-11-12 06:21:41.757109,125.22215006143703,265.6385765139556,0.3744416332060185,night4,29.700000129751764,0.0027834491289743,197.7972548869606,4.100673225310791,149.38225228230823,28.962871105866743,unclear
760815-17-N2,760815-17-N2,3,1976-08-15 17:43:44.100000,1.0,0.0,3,35,D,DD,isolated,1,0.682314,1976-08-15 17:43:44.100000,117.27578222222222,250.5590355555556,0.4574548611111111,night1,12.90000012975158,0.0108419566150924,-1.0,-1.0,-1.0,-1.0,unclear
761212-00-M2,761212-00-M2,3,1976-12-12 00:25:11.633333,1.0,0.0,3,35,B,DD,isolated,1,1.024831,1976-12-12 00:25:11.633333,122.52647604945186,264.34365975314074,0.5253082561689815,night5,22.00000012975165,0.0085710552655901,-1.0,-1.0,-1.0,-1.0,unclear
