evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
760815-17-N2,760815-17-N2,1976-08-15 17:43:44.100000,DD,isolated,117.27578222222222,250.5590355555556,0.4574548611111111,0.0108419566150924,250.5590355555556,0.682314,-1.0,-1.0,-1.0,-1.0,unclear
760815-21-M1,760815-21-M1,1976-08-15 21:41:07.891667,AA,isolated,114.09814098758515,248.32438641970367,0.6223135609606482,0.0113183246512846,248.32438641970367,2.732484,107.53131832943896,0.7546802306867735,105.01162044685483,33.660061664657,unclear
760831-14-M4,760831-14-M4,1976-08-31 14:40:59.383333,AA,isolated,290.71856913562965,247.4844474072889,16.330548418206018,0.005815960745022,247.4844474072889,3.62814725,129.69956176050584,64.70142582230218,244.5604157310828,2.325854214305698,geophone_rock
760902-07-M2,760902-07-M2,1976-09-02 07:27:19.075012,BB,isolated,344.179470743763,297.7423185220741,18.02938744226852,0.007158324401768,297.7423185220741,1.702949,230.96602013115984,54.21019011338779,203.54025217793333,65.77567188646115,unclear
760909-03-N1,760909-03-N1,1976-09-09 03:44:23.000000,AA,isolated,366.7260296296296,353.8132888888889,24.87457175925926,0.009976434046562,353.8132888888889,1.4948985,194.1481374344812,6.987061019727378,222.8961375844983,0.5110326814818738,geophone_rock
760912-02-N2,760912-02-N2,1976-09-12 02:01:56.175000,AA,isolated,295.1232033333333,313.2474077777778,27.80342795138889,0.0113337160485561,313.2474077777778,10.26462675,202.9806972349292,4.618419013020975,138.46618982507522,2.925627782163183,unclear
760916-04-N1,760916-04-N1,1976-09-16 04:52:04.066667,BB,isolated,104.60153679012345,244.5619209876543,2.4293873456790123,0.0042838103535445,244.5619209876543,1.7587309999999998,347.8994338511603,102.7575388592974,132.69550652528233,16.826079867525994,R2
760930-02-N2,760930-02-N2,1976-09-30 02:10:33.800000,DD,isolated,291.55802666666665,250.36535111111112,16.317231481481482,0.0062925334158544,250.36535111111112,0.621769,-1.0,-1.0,-1.0,-1.0,unclear
760930-21-M2,760930-21-M2,1976-09-30 21:28:16.301767,AA,isolated,321.8531295171556,275.2179991206074,17.12119562230324,0.0087917349170028,275.2179991206074,1.59200775,236.50915824225737,38.09850621532351,198.044250055124,6.314106749946193,unclear
761001-18-M1,761001-18-M1,1976-10-01 18:31:57.200000,BB,isolated,345.0828503704544,299.896462222326,17.998752314818674,0.0076958081273458,299.896462222326,4.364626666666666,283.8030310673227,48.33989820300989,240.10758398064416,1.425769861057634,geophone_rock
761004-01-M1,761004-01-M1,1976-10-04 01:07:14.688328,BB,isolated,378.5386389624593,344.3677316040988,20.273260281570213,0.0110386897950672,344.3677316040988,1.5058966666666669,201.20328859049573,101.99237591210878,17.608802136413317,130.39938840037723,unclear
761010-12-N2,761010-12-N2,1976-10-10 12:45:55.900000,CC,isolated,333.0526088888889,334.9700622222223,26.75845949074074,0.0079433269336548,334.9700622222223,1.7224495,-1.0,-1.0,-1.0,-1.0,unclear
761011-07-N3,761011-07-N3,1976-10-11 07:45:59.850000,CC,isolated,308.28762000000006,321.08248000000003,27.550171875000004,0.0047532670946757,321.08248000000003,13.677212,-1.0,-1.0,-1.0,-1.0,unclear
761011-12-M1,761011-12-M1,1976-10-11 12:33:37.500000,BB,isolated,300.59355555555555,317.08177777777775,27.74991319444445,0.0083241555796618,317.08177777777775,2.9416110000000004,227.8809932813365,59.6819044085367,258.54244974637083,14.951547087760764,geophone_rock
770124-19-M1,761028-01-M1,1977-01-24 19:25:27.432628,AA,repeating,108.22057990554072,213.4257717891556,14.692157785046296,0.0077285310516804,213.4257717891556,2.31428675,348.5588874389476,0.3203638509666294,351.0931031412422,0.1662457057273542,R2
761028-01-M1,761028-01-M1,1976-10-28 01:02:47.832639,AA,repeating,96.9826524904,212.1132789712,14.7311091740625,0.0081247326174854,212.1132789712,3.8676879999999993,347.73909678585704,0.3458007862459762,357.414975478936,0.4386203609010953,R2
760929-13-M1,761028-23-M3,1976-09-29 13:25:00.495251,AA,repeating,262.9237075229778,234.1379465299704,15.785596009849538,0.0100012678391561,234.1379465299704,2.10102125,165.57349624054524,2.7119079250666807,167.71409339444935,3.07831969216248,geophone_rock
