evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
770421-00-M2,770421-00-M2,4,1977-04-21 00:50:04.633333,1.0,0.0,3,35,B,AA,isolated,1,3.557144,1977-04-21 00:50:04.633333,84.30548691358518,216.4654869135852,12.261338348761573,night9,54.10000012975211,0.0080768828423461,142.28109680646344,0.1470872262877295,141.02257427861338,0.4891451853450598,GEO4_rock1
770421-00-M2,770421-00-M2,3,1977-04-21 00:50:05.733333,1.0,0.0,3,35,B,AA,isolated,1,3.766667,1977-04-21 00:50:05.733333,84.30547061728889,216.4654706172889,12.261351080243056,night9,46.300000129752,0.0032697998510015,142.28109680646344,0.1470872262877295,141.02257427861338,0.4891451853450598,GEO4_rock1
770421-00-M2,770421-00-M2,1,1977-04-21 00:50:05.933333,1.0,0.0,3,35,B,AA,isolated,1,10.292858,1977-04-21 00:50:05.933333,84.30546765432592,216.46546765432592,12.261353395057869,night9,57.60000012975216,0.0025674083643216,142.28109680646344,0.1470872262877295,141.02257427861338,0.4891451853450598,GEO4_rock1
770421-00-M2,770421-00-M2,2,1977-04-21 00:50:07.133333,1.0,0.0,3,35,B,AA,isolated,1,7.604763,1977-04-21 00:50:07.133333,84.30544987654815,216.4654498765481,12.261367283946758,night9,40.60000012975192,0.002492633704831,142.28109680646344,0.1470872262877295,141.02257427861338,0.4891451853450598,GEO4_rock1
760831-17-M5,760831-17-M5,4,1976-08-31 17:39:28.600000,1.0,0.0,3,35,C,DD,isolated,1,1.474831,1976-08-31 17:39:28.600000,296.1479822222222,251.38392592592592,16.454497685185185,sunrise1,115.50000012974932,0.0032809050251187,-1.0,-1.0,-1.0,-1.0,GEO4_rock2or3
770206-17-M2,770206-17-M2,4,1977-02-06 17:13:19.033333,1.0,0.0,3,35,B,AA,repeating,3,0.383334,1977-02-06 17:13:19.033333,311.3133782717481,324.3424370371111,27.600393904317126,sunset6,53.700000129752105,0.0314636515215977,157.61907625341811,2.1490895578945324,133.57017720760942,3.1362783579287044,GEO4_rock1
770206-17-M2,770206-17-M2,3,1977-02-06 17:13:19.633333,1.0,0.0,3,35,B,AA,repeating,3,2.308844,1977-02-06 17:13:19.633333,311.3131204939704,324.34230370377776,27.600400848761574,sunset6,44.50000012975197,0.0119023151035916,157.61907625341811,2.1490895578945324,133.57017720760942,3.1362783579287044,GEO4_rock1
770206-17-M2,770206-17-M2,1,1977-02-06 17:13:19.833333,1.0,0.0,3,35,B,AA,repeating,3,3.426871,1977-02-06 17:13:19.833333,311.31303456804443,324.34225925933333,27.600403163576388,sunset6,46.90000012975201,0.0099636315596065,157.61907625341811,2.1490895578945324,133.57017720760942,3.1362783579287044,GEO4_rock1
770206-17-M2,770206-17-M2,2,1977-02-06 17:13:20.833333,1.0,0.0,3,35,B,AA,repeating,3,1.644559,1977-02-06 17:13:20.833333,311.3126049384148,324.3420370371111,27.600414737650464,sunset6,49.90000012975205,0.0044984092516923,157.61907625341811,2.1490895578945324,133.57017720760942,3.1362783579287044,GEO4_rock1
770308-07-M4,770206-17-M2,4,1977-03-08 07:32:18.552041,0.9190886017421352,-1.3520408163265307,3,35,B,AA,repeating,3,1.679252,1977-03-08 07:32:17.200000,309.2210548148148,322.8074785185185,27.610962962962965,sunset7,346.10000012976184,0.0246952136502788,159.62644191933722,0.2480993187235263,161.43005029039008,2.330910158530702,GEO4_rock1
770308-07-M4,770206-17-M2,3,1977-03-08 07:32:19.157483,0.8714650431419424,0.042517006802721,3,35,B,AA,repeating,3,1.558504,1977-03-08 07:32:19.200000,309.2201955555556,322.80700444444443,27.61098611111112,sunset7,254.10000012974143,0.0124920383595105,159.62644191933722,0.2480993187235263,161.43005029039008,2.330910158530702,GEO4_rock1
770308-07-M4,770206-17-M2,1,1977-03-08 07:32:19.347279,0.8743605247471405,0.5527210884353742,3,35,B,AA,repeating,3,0.952042,1977-03-08 07:32:19.900000,309.2198948148148,322.8068385185185,27.61099421296296,sunset7,257.40000012974167,0.0089873023882494,159.62644191933722,0.2480993187235263,161.43005029039008,2.330910158530702,GEO4_rock1
