evid,grade,geophone,picktime,risetime,emergence_s,rmse_gauss,SNR,SNR_div_RMSE,max_gap_len_s,quality,grade_new
760815-09-M3,C,1,1976-08-15 09:02:43.500000,1976-08-15 09:03:32.607144,49.107144,0.0845755900616279,2.4509394456275904,28.97927692661273,0.0,HQ,AA
760815-09-M3,C,2,1976-08-15 09:02:40.200000,1976-08-15 09:03:40.268709,60.068709,0.0891372249181365,2.726065904945066,30.582799806126804,0.0170068029417578,HQ,AA
760815-09-M3,C,3,1976-08-15 09:02:36.600000,1976-08-15 09:02:50.421770,13.82177,0.0845558762781118,2.567960837862289,30.369986698689484,0.0,HQ,AA
760815-09-M3,C,4,1976-08-15 09:02:46.600000,1976-08-15 09:03:04.307824,17.707824,0.1200136953577982,2.126304936872433,17.71718578061659,0.0,HQ,AA
760815-09-N2,D,4,1976-08-15 09:34:38.300000,1976-08-15 09:35:22.608845,44.308845,0.1020958875043196,1.4221362448898889,13.929417527515197,0.0,HQ,DD
760815-10-M1,A,1,1976-08-15 10:36:34.676434,1976-08-15 10:37:10.137320,35.460886,0.06423595776764,2.7731362215974698,43.1710885611561,0.0,HQ,AA
760815-10-M1,A,2,1976-08-15 10:36:36.176434,1976-08-15 10:37:02.220653,26.044219,0.0484949892466582,3.412062188112036,70.35906680497226,0.0425170073543874,HQ,AA
760815-10-M1,A,3,1976-08-15 10:36:35.076434,1976-08-15 10:36:55.528476,20.452042,0.0647329983937246,3.1326029269626248,48.392674597107934,0.0,HQ,AA
760815-10-M1,A,4,1976-08-15 10:36:35.976434,1976-08-15 10:37:06.974054,30.99762,0.0484086432129112,3.2487640164043614,67.11123883632985,0.0,HQ,AA
760815-11-M1,C,1,1976-08-15 11:30:58.100000,1976-08-15 11:31:19.880953,21.780953,0.0903943117316483,1.4488650380406995,16.028276672341008,0.3316326573642101,HQ,BB
760815-11-M1,C,3,1976-08-15 11:30:59.000000,1976-08-15 11:31:45.926872,46.926872,0.097363804946987,1.341371531095091,13.776901301520066,0.0,HQ,BB
760815-11-M1,C,4,1976-08-15 11:30:58.200000,1976-08-15 11:31:01.096940,2.89694,0.0888239355154603,1.5412922120380723,17.352217092090022,0.61224490590316,HQ,BB
760815-11-M2,B,1,1976-08-15 11:48:31.266667,1976-08-15 11:49:26.960886,55.694219,0.1388703083694291,3.565270546181095,25.67338251094396,0.0,HQ,AA
760815-11-M2,B,2,1976-08-15 11:48:20.366667,1976-08-15 11:48:53.295920,32.929253,0.1064712621499655,3.4764062914107767,32.65112314076107,0.0170068029417507,HQ,AA
760815-11-M2,B,3,1976-08-15 11:48:17.966667,1976-08-15 11:49:27.573131,69.606464,0.1461501533480829,3.722865336078663,25.47288012221232,0.0,HQ,AA
760815-11-M2,B,4,1976-08-15 11:48:24.166667,1976-08-15 11:49:02.615648,38.448981,0.1193695539105768,3.5369710642071497,29.630428767931875,0.0,HQ,AA
760815-11-M3,C,4,1976-08-15 11:36:11.800000,1976-08-15 11:36:33.535715,21.735715,0.0860651318843287,1.3444485752655024,15.621292221714569,0.0,HQ,DD
760815-11-N1,D,1,1976-08-15 11:44:57.600000,1976-08-15 11:45:30.287416,32.687416,0.1153405937829767,2.0892266011572085,18.11354123153093,0.0,HQ,CC
760815-11-N1,D,3,1976-08-15 11:44:31.100000,1976-08-15 11:45:38.748301,67.648301,0.1328914518073328,2.063230849750553,15.52568522422227,0.0,HQ,CC
760815-11-N2,D,1,1976-08-15 11:01:14.600000,1976-08-15 11:01:18.630953,4.030953,0.0604297331268449,1.9081125461715795,31.575723529447995,0.0,HQ,AA
760815-11-N2,D,2,1976-08-15 11:01:15.800000,1976-08-15 11:02:24.583335,68.783335,0.1076818070389879,1.6292877994805526,15.13057631815784,0.076530613237896,HQ,AA
760815-11-N2,D,3,1976-08-15 11:01:17.400000,1976-08-15 11:01:58.545920,41.14592,0.0684953899618016,1.859579058474392,27.14896666055101,0.0085034014708753,HQ,AA
760815-11-N2,D,4,1976-08-15 11:01:14.600000,1976-08-15 11:01:28.869048,14.269048,0.0527140339925871,2.0684721956346075,39.23949732106418,0.0,HQ,AA
760815-12-M1,A,1,1976-08-15 12:45:35.484605,1976-08-15 12:46:14.480184,38.995579,0.0849675525704995,1.6042717041537342,18.880992280231137,0.0,HQ,AA
760815-12-M1,A,2,1976-08-15 12:45:37.384605,1976-08-15 12:45:56.640048,19.255443,0.1009541469917756,1.6758104463315675,16.59971874625507,0.0,HQ,AA
760815-12-M1,A,3,1976-08-15 12:45:33.784605,1976-08-15 12:46:13.349232,39.564627,0.0622285641618513,1.749240471032598,28.10992820729351,0.0,HQ,AA
760815-12-M1,A,4,1976-08-15 12:45:33.684605,1976-08-15 12:46:05.117939,31.433334,0.1004533220869264,1.8423607203808543,18.34046582139497,0.0,HQ,AA
760815-12-M2,A,4,1976-08-15 12:51:20.597133,1976-08-15 12:52:10.363801,49.766668,0.1247499621567822,1.6779067447715763,13.450158346844471,0.0765306132378924,HQ,DD
760815-12-M4,C,1,1976-08-15 12:53:43.200000,1976-08-15 12:54:09.715987,26.515987,0.0605173086233246,2.557816282451441,42.265863116483786,0.0,HQ,AA
760815-12-M4,C,2,1976-08-15 12:53:41.600000,1976-08-15 12:54:16.331634,34.731634,0.0874215909903272,2.250487043162375,25.74292022906997,0.0,HQ,AA
